"filename", "language", "Python", "C++", "comment", "blank", "total"
"/home/finn/Documents/honours-project/c-attempt/eigen3/Eigen/src/Core/products/TriangularMatrixVector.h", "C++", 0, 280, 14, 57, 351
"/home/finn/Documents/honours-project/c-attempt/eigen3/Eigen/src/Core/products/TriangularMatrixVector_BLAS.h", "C++", 0, 203, 37, 16, 256
"/home/finn/Documents/honours-project/c-attempt/eigen3/Eigen/src/Core/products/TriangularSolverMatrix.h", "C++", 0, 250, 40, 48, 338
"/home/finn/Documents/honours-project/c-attempt/eigen3/Eigen/src/Core/products/TriangularSolverMatrix_BLAS.h", "C++", 0, 124, 33, 11, 168
"/home/finn/Documents/honours-project/c-attempt/eigen3/Eigen/src/Core/products/TriangularSolverVector.h", "C++", 0, 114, 16, 19, 149
"/home/finn/Documents/honours-project/c-attempt/eigen3/Eigen/src/Core/util/BlasUtil.h", "C++", 0, 467, 34, 83, 584
"/home/finn/Documents/honours-project/c-attempt/eigen3/Eigen/src/Core/util/ConfigureVectorization.h", "C++", 0, 335, 112, 66, 513
"/home/finn/Documents/honours-project/c-attempt/eigen3/Eigen/src/Core/util/Constants.h", "C++", 0, 214, 291, 59, 564
"/home/finn/Documents/honours-project/c-attempt/eigen3/Eigen/src/Core/util/DisableStupidWarnings.h", "C++", 0, 65, 33, 9, 107
"/home/finn/Documents/honours-project/c-attempt/eigen3/Eigen/src/Core/util/ForwardDeclarations.h", "C++", 0, 242, 37, 44, 323
"/home/finn/Documents/honours-project/c-attempt/eigen3/Eigen/src/Core/util/IndexedViewHelper.h", "C++", 0, 91, 60, 36, 187
"/home/finn/Documents/honours-project/c-attempt/eigen3/Eigen/src/Core/util/IntegralConstant.h", "C++", 0, 103, 136, 34, 273
"/home/finn/Documents/honours-project/c-attempt/eigen3/Eigen/src/Core/util/MKL_support.h", "C++", 0, 82, 35, 21, 138
"/home/finn/Documents/honours-project/c-attempt/eigen3/Eigen/src/Core/util/Macros.h", "C++", 0, 900, 367, 198, 1465
"/home/finn/Documents/honours-project/c-attempt/eigen3/Eigen/src/Core/util/Memory.h", "C++", 0, 802, 224, 138, 1164
"/home/finn/Documents/honours-project/c-attempt/eigen3/Eigen/src/Core/util/Meta.h", "C++", 0, 590, 103, 120, 813
"/home/finn/Documents/honours-project/c-attempt/eigen3/Eigen/src/Core/util/NonMPL2.h", "C++", 0, 3, 0, 1, 4
"/home/finn/Documents/honours-project/c-attempt/eigen3/Eigen/src/Core/util/ReenableStupidWarnings.h", "C++", 0, 18, 8, 6, 32
"/home/finn/Documents/honours-project/c-attempt/eigen3/Eigen/src/Core/util/ReshapedHelper.h", "C++", 0, 30, 8, 14, 52
"/home/finn/Documents/honours-project/c-attempt/eigen3/Eigen/src/Core/util/StaticAssert.h", "C++", 0, 150, 35, 37, 222
"/home/finn/Documents/honours-project/c-attempt/eigen3/Eigen/src/Core/util/SymbolicIndex.h", "C++", 0, 190, 62, 42, 294
"/home/finn/Documents/honours-project/c-attempt/eigen3/Eigen/src/Core/util/XprHelper.h", "C++", 0, 573, 165, 119, 857
"/home/finn/Documents/honours-project/c-attempt/eigen3/Eigen/src/Eigenvalues/ComplexEigenSolver.h", "C++", 0, 156, 152, 39, 347
